ds,y,yhat,yhat_lower,yhat_upper,granularity
2017-08-14,145121.82,148343.8917056443,74283.72980126172,222707.1289923201,week
2017-08-21,123909.56,150922.95351701326,83561.39879097037,224172.9646643366,week
2017-08-28,201259.36,153502.01532838226,79786.70943003407,225487.63027281585,week
2017-09-04,151277.26,156079.90405975786,84901.8057621374,227712.91444880117,week
2017-09-11,181939.3,158657.79279113346,84274.15239642763,231942.8496346414,week
2017-09-18,147346.5,161235.681522509,88721.68014447684,232729.94413390744,week
2017-09-25,161220.22,163812.79837371252,89455.47120961825,236048.72449884235,week
2017-10-02,164777.07,166389.9152249161,91765.72589679179,240144.83562660846,week
2017-10-09,171500.5,168967.03207611965,100725.95086619363,242058.6821762602,week
2017-10-16,189781.96,171543.76624704502,102013.98276956337,247432.69106910503,week
2017-10-23,158690.24,174120.50041797044,102699.94234228913,244175.7557311009,week
2017-10-30,163578.72,176695.84558044403,98148.69238240343,254454.71253642425,week
2017-11-06,180237.29,179271.19074291768,103823.20031081174,247974.1849321114,week
2017-11-13,202394.09,181846.5359053913,106287.7175412153,254215.2926407801,week
2017-11-20,469822.36,184418.91802162808,109333.58199366678,259149.2271007884,week
2017-11-27,309156.04,186991.3001378649,113731.0858078111,256275.26936954868,week
2017-12-04,253357.99,189563.68225410167,115720.8703300046,264293.83089592966,week
2017-12-11,215271.77,192132.60368256312,115909.73999265362,258772.640224334,week
2017-12-18,146300.97,194701.52511102456,120462.91728124143,266294.65149642795,week
2017-12-25,117197.97,197270.446539486,122028.99233369899,272069.03374624776,week
2018-01-01,208993.75,199838.39122624372,133911.83388940658,271248.0967788873,week
2018-01-08,272960.99,202406.3359130014,129095.7958210706,281691.93996091664,week
2018-01-15,252344.04,204974.2805997591,133147.51160536427,273144.5797629692,week
2018-01-22,242592.14,207541.4690718358,133220.46154794114,280641.55609558965,week
2018-01-29,229109.45,210108.6575439125,135205.68525283743,287254.89485357533,week
2018-02-05,233762.09,212675.8460159892,139611.6381465927,287277.3015827292,week
2018-02-12,225672.82,215242.8114553239,143517.2330863301,288339.02126368403,week
2018-02-19,246983.95,217809.77689465866,141526.67240864222,285273.1320137163,week
2018-02-26,299538.75,220373.5482443061,151471.98390633948,299381.16849286435,week
2018-03-05,261982.39,222937.31959395355,144593.39211961487,301245.9862329,week
2018-03-12,249048.08,225501.09094360104,155810.41928944047,300595.2938785466,week
2018-03-19,264531.04,228061.428988049,148986.16955555702,300640.46142488497,week
2018-03-26,232144.61000000002,230621.76703249707,155367.21680456423,305745.00448651623,week
2018-04-02,259170.45,233182.10507694504,162471.26799230324,307153.4520652328,week
2018-04-09,265906.04,235741.91295296102,167979.82038842654,314865.2310407502,week
2018-04-16,265993.76,238301.72082897706,161676.93805176043,307808.1626981297,week
2018-04-23,270661.79,240861.52870499308,170445.6334754359,313598.7548707754,week
2018-04-30,277760.86,243421.28439655819,174038.91582298113,316064.1300801357,week
2018-05-07,334469.89,245981.04008812332,170602.24779711218,318746.4738197835,week
2018-05-14,296083.96,248540.7957796885,177141.65792730733,321781.5646669746,week
2018-05-21,152339.97,251100.5514712536,178117.8514048347,325140.19826761546,week
2018-05-28,207818.81,253660.30716281873,179508.28629961592,324339.14117438294,week
2018-06-04,240284.8,256220.0628543839,179593.29289654194,324435.3843219565,week
2018-06-11,257491.37,258779.818545949,183247.81188885184,332808.42583422334,week
2018-06-18,225067.05,261339.57423751414,191756.47981692298,333598.74198302743,week
2018-06-25,219020.37,263899.3299290793,191014.53537316297,337876.95406414056,week
2018-07-02,184868.39,266459.08562064444,191537.76554825794,342235.4569435272,week
2018-07-09,180651.15,269018.84131220955,193195.63487843232,344262.8748818676,week
2018-07-16,260126.13,271578.5970037747,197841.73413809857,347616.7965683322,week
2018-07-23,279069.77,274138.3526953398,198608.28138469736,347559.8524537866,week
2018-07-30,320188.7,276698.108386905,197389.74955092894,349754.8332426088,week
2018-08-06,318750.58,279257.8640784701,200922.0156802161,355121.3376556444,week
2018-08-13,285840.99,281817.6197700352,208748.3923712281,351394.52582367265,week
2018-08-20,145754.71,284377.37546160043,211962.5566005594,356381.92599636107,week
2018-08-27,11995.53,286937.13115316554,217359.32895849293,364312.14048981253,week
2018-09-03,,289496.8868447307,212390.467643573,361750.95739181625,week
2018-09-10,,292056.6425362958,217296.35998950733,367824.87331052194,week
2018-09-17,,294616.3982278609,220201.07435901603,362675.68961916806,week
2018-09-24,,297176.1539194261,225747.29807978918,374124.1675872305,week
2016-10-03,595.14,4526.039726312995,-7975.264735183054,16920.315175919182,day
2016-10-04,9821.42,3958.2454950876613,-8151.713422619217,16285.373737081429,day
2016-10-05,7209.5,3105.133750307294,-9556.512536806042,15970.560811385787,day
2016-10-06,6798.9,2133.9929627327974,-10045.038965930851,13535.862438152451,day
2016-10-07,7088.39,1373.8069230317735,-11515.424398188865,13537.710146289975,day
2016-10-08,8587.15,-4499.165709788389,-17004.067586499812,8084.329904272077,day
2016-10-09,3197.92,-3298.4445800009844,-16489.5434152435,8252.130220180183,day
2016-10-10,4077.55,4960.707318483539,-7512.914771207338,17427.80172060952,day
2016-12-23,19.62,6155.150437021132,-6742.166024888808,18456.29064694114,day
2017-01-05,707.27,7784.671661081334,-3373.8158391938837,20040.044646742288,day
2017-01-06,988.28,7024.485621382384,-5148.859891204482,19614.05067146097,day
2017-01-07,1447.99,1151.5129885608312,-11537.597146092005,12675.226104789348,day
2017-01-08,507.8500000000001,2352.23411833716,-10133.229970822857,14601.103779433568,day
2017-01-09,774.51,10611.386016838562,-2172.0287818981556,22540.911273007667,day
2017-01-10,1571.17,10043.59178561885,-2520.6891129294195,22669.897785412963,day
2017-01-11,2098.78,9190.480040833425,-3582.330435838885,21984.234616962236,day
2017-01-12,1720.35,8219.339253261773,-4214.04843814285,19986.470327804152,day
2017-01-13,2712.86,7459.153213557842,-4216.28428369616,20060.416947252408,day
2017-01-14,1153.29,1586.1805807336468,-10023.06410203304,13702.922188648658,day
2017-01-15,2720.57,2786.901710527026,-10435.72818543493,15003.709934332552,day
2017-01-16,3664.54,11055.56272181536,-986.0024553507172,23757.035907339014,day
2017-01-17,3979.73,10497.277603402805,-1518.567698833531,21971.19539796122,day
2017-01-18,3811.68,9653.674971420549,-2466.6591461760036,21976.205546888374,day
2017-01-19,4140.16,8692.043296652237,-3728.7210005739516,20472.928199334616,day
2017-01-20,4656.05,7941.36636974971,-4346.395446717051,19548.003632078075,day
2017-01-21,2991.71,2077.9028497394866,-11027.315522504688,14368.121658130829,day
2017-01-22,4141.87,3288.1330922878406,-9740.681765437761,15639.235722341706,day
2017-01-23,7221.59,11556.79410361535,-1634.3421354795828,24096.619984802444,day
2017-01-24,5943.21,10998.508985195673,-1812.3907078784184,22517.00995046813,day
2017-01-25,8196.07,10154.906353216007,-2452.1917510412163,22154.907659184828,day
2017-01-26,15319.84,9193.274678443124,-3019.212805463396,21586.766366165946,day
2017-01-27,12458.15,8442.597751550087,-4258.929842497313,20762.469996419633,day
2017-01-28,5710.01,2579.1342315268876,-9925.473054772603,14260.850160659205,day
2017-01-29,6593.76,3789.364474092291,-8336.502029416746,15597.170074517018,day
2017-01-30,11277.15,12058.025485415345,-401.1641014843917,23748.986402650804,day
2017-01-31,11945.66,11499.740366990045,-1513.5910472800813,23417.977979144292,day
2017-02-01,8788.7,10656.137735010829,-2388.1235415414967,23264.13784489489,day
2017-02-02,10334.07,9694.506060243977,-2837.4835832048702,22367.55119297349,day
2017-02-03,10797.08,8943.829133340128,-2932.1405395521906,20703.538616715145,day
2017-02-04,15320.15,3080.365613320949,-9723.007246071396,15664.751544859104,day
2017-02-05,10035.210000000001,4290.595946913889,-8361.341371659648,16618.767776706503,day
2017-02-06,10892.49,12559.25704924679,-1343.1858350369403,24217.721779860854,day
2017-02-07,16167.45,12000.972021857753,-498.850183575071,24400.388099790005,day
2017-02-08,13516.29,11157.369480901207,-1491.8328097804383,23381.828660319115,day
2017-02-09,10804.130000000001,10195.737897152345,-1534.2352563808229,23769.436242398726,day
2017-02-10,14486.49,9445.061061269122,-3024.5333238817007,21710.582993921045,day
2017-02-11,5233.15,3581.59763227045,-8512.763371623887,16040.274148654076,day
2017-02-12,16389.82,4791.827965867646,-7545.199047829256,16892.911069386708,day
2017-02-13,12174.71,13060.489068213054,810.846552710301,26095.052543023285,day
2017-02-14,12831.06,12502.204040812729,1044.594777342483,25525.40426878827,day
2017-02-15,7734.14,11658.601499855846,-941.8584308631135,24151.071666855965,day
2017-02-16,6842.42,10696.969916111168,-2133.4760264372017,22926.463349175145,day
2017-02-17,8059.21,9946.293080237596,-2109.5270313917504,21563.52240121274,day
2017-02-18,8673.48,4082.829651233821,-8106.206543426836,16807.613900533426,day
2017-02-19,4195.81,5293.059984834203,-7344.528911219226,17829.270731017725,day
2017-02-20,8318.07,13561.721087170983,937.0998527681753,25424.506277238186,day
2017-02-21,8982.23,13003.436059767704,172.81896210712227,25677.217161594308,day
2017-02-22,7348.3099999999995,12159.833518815696,-928.5408081209551,24440.767923737643,day
2017-02-23,7790.55,11198.20193506416,-1631.5614348939146,23271.93971260038,day
2017-02-24,7779.2,10447.525116662562,-1914.6999522479273,23339.77682494665,day
2017-02-25,4347.75,4584.061705161474,-8312.391944179668,16599.966187191014,day
2017-02-26,6101.02,5794.2920562251675,-6827.485978988519,17697.312325383387,day
2017-02-27,6721.860000000001,14062.953176048328,2002.0004098505028,26282.765979903128,day
2017-02-28,11992.41,13504.6681661236,757.0964963726957,25589.74419245738,day
2017-03-01,14355.23,12661.065642644664,266.48378259346674,24868.21077139043,day
2017-03-02,12575.460000000001,11699.434076370522,-925.7044640520388,24776.92065034086,day
2017-03-03,13970.779999999999,10948.75725797238,-1187.2330308540118,23320.14132786958,day
2017-03-04,10024.79,5085.293846469317,-7335.9793712231485,18635.682560187484,day
2017-03-05,8350.84,6295.5241975306035,-5339.419993059828,19154.081768628395,day
2017-03-06,10605.15,14564.185317347237,2080.9448265392543,26855.30895042169,day
2017-03-07,13233.89,14005.900307434116,1787.3637654813572,27724.613760388627,day
2017-03-08,14774.64,13162.297783952445,-54.69346801386812,24973.88044361955,day
2017-03-09,13001.78,12200.666217685157,-137.5969328141029,24939.44362497635,day
2017-03-10,14078.64,11449.989399276204,-962.3300282278127,23933.70553016286,day
2017-03-11,12089.77,5586.5259877777,-7241.227441890651,17638.61035556169,day
2017-03-12,7747.75,6796.756338842825,-5563.11713347937,19952.25094815146,day
2017-03-13,18871.88,15065.41745865684,2469.4252365069415,27244.266248626736,day
2017-03-14,16171.19,14507.132448742272,1583.3048853541723,26402.978590945968,day
2017-03-15,16624.46,13663.52992526022,805.3303664006648,26004.84859471682,day
2017-03-16,16463.94,12701.898365618752,501.06641217142584,24849.75529031292,day
2017-03-17,13522.03,11951.221553854211,-127.66786032704327,24479.298714065895,day
2017-03-18,17588.75,6087.758148972324,-6945.800105179837,18816.44857398467,day
2017-03-19,7728.08,7297.988506670757,-4846.3347119935515,19205.919721488517,day
2017-03-20,19327.85,15566.649633119425,2501.7047606208284,28641.83103864048,day
2017-03-21,13292.84,15008.364629826348,1836.6588951199196,27288.466768832597,day
2017-03-22,16497.07,14164.762112974244,1846.6206868883903,26044.081667155853,day
2017-03-23,18402.83,13203.130553331745,230.35435789956222,25438.769886388778,day
2017-03-24,11554.4,12452.453741564872,237.32575138050615,25102.220028664367,day
2017-03-25,11525.93,6588.990336676001,-5922.000672134929,20117.665110888713,day
2017-03-26,7356.92,7799.220694385473,-4415.284712661181,20345.493251591244,day
2017-03-27,18517.1,16067.88182082083,4319.524138152498,28288.050813466583,day
2017-03-28,13533.92,15509.596817536998,3033.1463559119866,28846.54248670177,day
2017-03-29,9662.03,14665.994300684517,1531.9030565186279,26183.83801671767,day
2017-03-30,11172.34,13704.362741044739,1598.6863556228386,27015.20524229253,day
2017-03-31,13705.02,12953.685929271189,371.178135612639,24934.37036649054,day
2017-04-01,18862.37,7090.222524400204,-5546.095234637794,19717.77758071109,day
2017-04-02,10449.4,8300.452882093403,-3400.9085931377012,20839.40184954335,day
2017-04-03,10402.17,16569.114008537104,3802.337613683447,28784.31554691805,day
2017-04-04,14152.99,16010.829011038588,3393.258667203024,28493.969606511084,day
2017-04-05,20248.13,15167.226499981138,2146.2591821717897,28488.882287226283,day
2017-04-06,21036.13,14205.594946135057,1318.6360293865343,25716.16071010801,day
2017-04-07,14605.91,13454.918140157612,828.8508523708081,26575.962787767716,day
2017-04-08,9688.06,7591.454741066086,-5627.999644467783,20241.38262782496,day
2017-04-09,9077.65,8801.685104562765,-3317.880532109671,20851.913852502996,day
2017-04-10,13049.66,17070.346236789763,4184.180017110347,28857.39925623229,day
2017-04-11,8400.58,16512.06123929482,4230.260361686371,30361.655493965445,day
2017-04-12,8925.15,15668.458728239319,3738.7644553432833,28486.555870306118,day
2017-04-13,11213.93,14706.827174389306,2436.3746062814926,27369.25011932817,day
2017-04-14,7950.88,13956.15036841701,1338.0415191939662,25659.746748130943,day
2017-04-15,9225.82,8092.68696932351,-4304.234249394916,21712.64882667412,day
2017-04-16,6046.41,9302.917332830577,-2360.226157403436,22105.266880000265,day
2017-04-17,8628.01,17571.57846504242,5737.48968082298,30168.59547393913,day
2017-04-18,23433.86,17013.293467556417,4610.563692062558,29860.574593660884,day
2017-04-19,13626.76,16169.690956498142,3452.2591186034815,28562.98574506092,day
2017-04-20,14654.23,15208.059402651827,2346.173378955349,27515.840361019247,day
2017-04-21,10048.39,14457.382596676405,2296.135237159498,27221.30373100086,day
2017-04-22,14777.47,8593.919197580932,-2997.969136348553,22008.90673782188,day
2017-04-23,11506.54,9804.149561073566,-2266.168706863919,21780.820290959844,day
2017-04-24,15435.6,18072.810692520026,4483.964368015176,30125.066323851017,day
2017-04-25,16136.78,17514.525694242646,6039.581519142523,29710.10349882294,day
2017-04-26,18037.64,16670.92318239824,4045.0485962496978,28753.16377251625,day
2017-04-27,11475.53,15709.291627764756,3011.1612898889407,28570.872253576345,day
2017-04-28,17803.15,14958.614821011382,2484.198925062534,28422.181107744105,day
2017-04-29,13295.69,9095.151421131039,-3323.6607181039362,21069.82347928942,day
2017-04-30,9289.56,10305.381783841112,-2354.320143202231,22620.104851511187,day
2017-05-01,14117.75,18574.042915283106,5137.64560804162,31524.211208936962,day
2017-05-02,19905.34,18015.757917000108,5692.707115423086,30941.747992870878,day
2017-05-03,12105.77,17172.15540515533,5328.382065716015,30163.844486450595,day
2017-05-04,15877.31,16210.523850527008,4150.161569794136,28324.788277355336,day
2017-05-05,15902.53,15459.847043764517,3000.8849130934746,27642.565137694277,day
2017-05-06,16774.95,9596.383643881529,-3598.7045653416762,21520.170965531986,day
2017-05-07,18748.2,10806.61400658383,-1364.334951131713,23544.671042363843,day
2017-05-08,18708.37,19075.275138042023,6344.154955059979,31853.67323233009,day
2017-05-09,23618.61,18516.990139761438,6429.012329536061,30332.609395292006,day
2017-05-10,22951.91,17673.387627914708,5542.378345898383,30345.194610759794,day
2017-05-11,21041.73,16711.75607328268,3468.322879752113,29144.826388048594,day
2017-05-12,14017.69,15961.079266517654,3317.541220137852,28476.5451867201,day
2017-05-13,9793.35,10097.615878685165,-2305.740363276662,23308.738059591222,day
2017-05-14,16509.65,11307.84625344486,-1566.9691939431088,23994.685499224604,day
2017-05-15,21132.2,19576.507396958015,7422.777272925524,31915.67865493194,day
2017-05-16,24624.28,19018.22241072997,5945.850183620204,31263.73194735452,day
2017-05-17,21161.78,18174.61991093897,6665.899599291881,30249.634051236095,day
2017-05-18,20801.42,17212.98836836135,4849.101834995163,28962.730547354426,day
2017-05-19,21352.23,16462.311573648785,3591.1941847160397,27700.830263794935,day
2017-05-20,12230.23,10598.84818582152,-1259.8909442626273,22682.707753808078,day
2017-05-21,20195.37,11809.078560578393,-741.9232665275364,23526.319180035804,day
2017-05-22,27837.19,20077.739704088934,7218.379539964615,32496.47018742444,day
2017-05-23,19913.85,19519.45471785793,6889.308568315197,32880.59584963598,day
2017-05-24,26800.06,18675.852218068885,5941.071555916906,30243.7359598233,day
2017-05-25,17189.91,17714.22067548733,4576.364923861055,30570.135792111618,day
